,Player,Team,Nation,Position
127,Dwight McNeil,Everton,ENG,"LW,RB,RW"
128,Jack Harrison,Everton,ENG,RW
129,Mason Holgate,Everton,ENG,"RW,RB"
130,Abdoulaye Doucouré,Everton,MLI,AM
131,Iliman Ndiaye,Everton,SEN,"LW,AM"
132,Idrissa Gana Gueye,Everton,SEN,DM
133,Tim Iroegbunam,Everton,ENG,DM
134,Vitaliy Mykolenko,Everton,UKR,LB
135,Michael Keane,Everton,ENG,CB
136,James Tarkowski,Everton,ENG,CB
137,Ashley Young,Everton,ENG,RB
138,Jordan Pickford,Everton,ENG,GK
139,Danny Welbeck,Brighton & Hove Albion,ENG,FW
140,Kaoru Mitoma,Brighton & Hove Albion,JPN,LW
141,Yasin Ayari,Brighton & Hove Albion,SWE,LW
142,Yankuba Minteh,Brighton & Hove Albion,GAM,RW
143,Simon Adingra,Brighton & Hove Albion,CIV,RW
144,João Pedro,Brighton & Hove Albion,BRA,AM
145,Jeremy Sarmiento,Brighton & Hove Albion,ECU,AM
146,Mats Wieffer,Brighton & Hove Albion,NED,DM
147,James Milner,Brighton & Hove Albion,ENG,DM
148,Billy Gilmour,Brighton & Hove Albion,SCO,DM
149,Jack Hinshelwood,Brighton & Hove Albion,ENG,LB
150,Lewis Dunk,Brighton & Hove Albion,ENG,CB
151,Adam Webster,Brighton & Hove Albion,ENG,CB
152,Jan Paul van Hecke,Brighton & Hove Albion,NED,CB
153,Joël Veltman,Brighton & Hove Albion,NED,RB
154,Jason Steele,Brighton & Hove Albion,ENG,GK
155,Kai Havertz,Arsenal,GER,"FW,LM"
156,Gabriel Martinelli,Arsenal,BRA,"LW,RW"
157,Bukayo Saka,Arsenal,ENG,RW
158,Leandro Trossard,Arsenal,BEL,LW
159,Declan Rice,Arsenal,ENG,LM
160,Gabriel Jesus,Arsenal,BRA,FW
161,Thomas Partey,Arsenal,GHA,CM
162,Martin Ødegaard,Arsenal,NOR,RM
163,Oleksandr Zinchenko,Arsenal,UKR,LB
164,Jurriën Timber,Arsenal,NED,LB
165,Gabriel Magalhães,Arsenal,BRA,CB
166,William Saliba,Arsenal,FRA,CB
167,Ben White,Arsenal,ENG,RB
168,David Raya,Arsenal,ESP,GK
169,Jørgen Strand Larsen,Wolverhampton Wanderers,NOR,FW
170,Chiquinho,Wolverhampton Wanderers,POR,LM
171,Rodrigo Gomes,Wolverhampton Wanderers,POR,"LW,LM"
172,Daniel Podence,Wolverhampton Wanderers,POR,RM
173,Hwang Hee-chan,Wolverhampton Wanderers,KOR,"RW,RM,FW,LM"
174,Jean-Ricner Bellegarde,Wolverhampton Wanderers,FRA,AM
175,Matheus Cunha,Wolverhampton Wanderers,BRA,FW
176,Mario Lemina,Wolverhampton Wanderers,GAB,"DM,CM"
177,João Gomes,Wolverhampton Wanderers,BRA,"DM,CM"
178,Pablo Sarabia,Wolverhampton Wanderers,ESP,CM
179,Rayan Aït-Nouri,Wolverhampton Wanderers,ALG,LB
180,Craig Dawson,Wolverhampton Wanderers,ENG,CB
181,Toti Gomes,Wolverhampton Wanderers,POR,"CB,LB"
182,Yerson Mosquera,Wolverhampton Wanderers,COL,CB
183,Matt Doherty,Wolverhampton Wanderers,IRL,RB
184,José Sá,Wolverhampton Wanderers,POR,GK
185,Michail Antonio,West Ham United,JAM,FW
186,Niclas Füllkrug,West Ham United,GER,FW
187,Mohammed Kudus,West Ham United,GHA,"LM,WB,RM"
188,Lucas Paquetá,West Ham United,BRA,CM
189,James Ward-Prowse,West Ham United,ENG,CM
190,Tomáš Souček,West Ham United,CZE,CM
191,Jarrod Bowen,West Ham United,ENG,RM
192,Crysencio Summerville,West Ham United,NED,"CM,LM"
193,Guido Rodríguez,West Ham United,ARG,DM
194,Danny Ings,West Ham United,ENG,FW
195,Emerson Palmieri,West Ham United,ITA,"LB,WB"
196,Max Kilman,West Ham United,ENG,CB
197,Konstantinos Mavropanos,West Ham United,GRE,CB
198,Vladimír Coufal,West Ham United,CZE,RB
199,Jean-Clair Todibo,West Ham United,FRA,CB
200,Alphonse Areola,West Ham United,FRA,GK
201,Ollie Watkins,Aston Villa,ENG,FW
202,Jhon Durán,Aston Villa,COL,FW
203,John McGinn,Aston Villa,SCO,LW
204,Jacob Ramsey,Aston Villa,ENG,LW
205,Leon Bailey,Aston Villa,JAM,RW
206,Jaden Philogene Bidace,Aston Villa,ENG,RW
207,Morgan Rogers,Aston Villa,ENG,AM
208,Youri Tielemans,Aston Villa,BEL,DM
209,Amadou Onana,Aston Villa,BEL,DM
210,Lucas Digne,Aston Villa,FRA,LB
211,Ian Maatsen,Aston Villa,NED,LB
212,Pau Torres,Aston Villa,ESP,CB
213,Ezri Konsa,Aston Villa,ENG,CB
214,Matty Cash,Aston Villa,POL,RB
215,Kosta Nedeljković,Aston Villa,SRB,RB
216,Emiliano Martínez,Aston Villa,ARG,GK
217,Yoane Wissa,Brentford,COD,FW
218,Fabio Carvalho,Brentford,POR,FW
219,Kevin Schade,Brentford,GER,LW
220,Keane Lewis-Potter,Brentford,ENG,"LW,LM,FW"
221,Bryan Mbeumo,Brentford,CMR,"RW,FW"
222,Ben Mee,Brentford,ENG,CB
223,Mathias Jensen,Brentford,DEN,LM
224,Frank Onyeka,Brentford,NGA,CM
225,Vitaly Janelt,Brentford,GER,CM
226,Mikkel Damsgaard,Brentford,DEN,"RM,CM"
227,Christian Nørgaard,Brentford,DEN,"RM,CM"
228,Kristoffer Ajer,Brentford,NOR,LB
229,Ethan Pinnock,Brentford,JAM,CB
230,Nathan Collins,Brentford,IRL,CB
231,Mads Roerslev,Brentford,DEN,RB
232,Mark Flekken,Brentford,NED,GK
233,Jean-Philippe Mateta,Crystal Palace,FRA,FW
234,Odsonne Édouard,Crystal Palace,FRA,"FW,AM"
235,Eberechi Eze,Crystal Palace,ENG,"AM,LM"
236,Daichi Kamada,Crystal Palace,JPN,AM
237,Jordan Ayew,Crystal Palace,GHA,"FW,AM"
238,Will Hughes,Crystal Palace,ENG,CM
239,Cheick Doucouré,Crystal Palace,MLI,CM
240,Adam Wharton,Crystal Palace,ENG,CM
241,Jefferson Lerma,Crystal Palace,COL,CM
